subjcet,name,x,y,labelx,labely,error
p11,p11\face\1.jpg,123.326485,120.34353,405.0,77.0,284.98884298337015
p11,p11\face\2.jpg,1318.6726,410.79153,1133.0,125.0,340.80951424512784
p11,p11\face\3.jpg,1041.8899,141.21764,892.0,308.0,224.23946115146637
p11,p11\face\4.jpg,992.9695,668.4166,998.0,664.0,6.69422816573078
p11,p11\face\5.jpg,1035.7654,104.6893,1184.0,80.0,150.2766264364655
p11,p11\face\6.jpg,772.31494,576.69995,746.0,566.0,28.40713093381
p11,p11\face\7.jpg,737.51526,517.0738,880.0,560.0,148.8104919016129
p11,p11\face\8.jpg,231.89432,95.10346,131.0,239.0,175.7437876746999
p11,p11\face\9.jpg,292.09348,331.72388,223.0,367.0,77.57778669362287
p11,p11\face\10.jpg,1172.6978,207.83301,1143.0,354.0,149.15343138443043
p11,p11\face\11.jpg,371.07648,77.72961,408.0,40.0,52.79081008003429
p11,p11\face\12.jpg,1031.1449,313.47656,903.0,194.0,175.20207083536428
p11,p11\face\13.jpg,301.38867,291.05374,152.0,196.0,177.06548929703948
p11,p11\face\14.jpg,145.13365,105.4321,218.0,166.0,94.75217984794598
p11,p11\face\15.jpg,205.43863,170.21863,618.0,101.0,418.3277535318449
p11,p11\face\16.jpg,422.79538,575.0872,631.0,461.0,237.4132654123396
p11,p11\face\17.jpg,922.8834,201.8137,545.0,405.0,429.0460894531029
p11,p11\face\18.jpg,1123.3555,387.4635,993.0,606.0,254.4616867035193
p11,p11\face\19.jpg,94.39981,393.9256,15.0,420.0,83.57155371203619
p11,p11\face\20.jpg,754.8612,100.854515,818.0,90.0,64.06502662700414
p11,p11\face\21.jpg,150.38585,247.3045,317.0,235.0,167.06787776604455
p11,p11\face\22.jpg,604.8208,344.4679,663.0,733.0,392.86386398471416
p11,p11\face\23.jpg,690.64575,291.10132,426.0,670.0,462.1705245361283
p11,p11\face\24.jpg,487.66907,71.68987,524.0,272.0,203.57819635523347
p11,p11\face\25.jpg,764.5226,684.2038,564.0,553.0,239.6325148795547
p11,p11\face\26.jpg,346.2001,329.6427,197.0,499.0,225.7045998783587
p11,p11\face\27.jpg,69.74979,86.20653,243.0,247.0,236.36873669650137
p11,p11\face\28.jpg,440.29327,369.67023,630.0,543.0,256.96663511533944
p11,p11\face\29.jpg,263.7163,262.37482,349.0,195.0,108.68612527882756
p11,p11\face\30.jpg,173.92697,752.3629,37.0,716.0,141.67306664465198
