[1] Total Num: 12000, avg: 285.00105859958103
[2] Total Num: 12000, avg: 271.3748489782411 
[3] Total Num: 12000, avg: 243.64768240291104 
[4] Total Num: 12000, avg: 242.6888985748957 
[5] Total Num: 12000, avg: 223.2275307977546 
[6] Total Num: 12000, avg: 212.4847226406472 
[7] Total Num: 12000, avg: 214.07754777385986 
[8] Total Num: 12000, avg: 211.57950063172336 
[9] Total Num: 12000, avg: 213.84377834489274 
[10] Total Num: 12000, avg: 210.81190144269587 
[11] Total Num: 12000, avg: 212.90454523348657 
[12] Total Num: 12000, avg: 209.98782526640022 
