subject,name,x,y,labelx,labely,error
p02,p02\face\1.jpg,1295.2798,891.4834,1113.0,516.0,417.3891507035131
p02,p02\face\2.jpg,712.50354,287.10114,650.0,57.0,238.43913826435877
p02,p02\face\3.jpg,81.73323,296.83557,170.0,148.0,173.0406044292784
p02,p02\face\4.jpg,107.67935,714.0183,91.0,462.0,252.56965314047528
p02,p02\face\5.jpg,432.76526,256.35028,433.0,94.0,162.35044800908312
p02,p02\face\6.jpg,460.1927,904.3642,370.0,400.0,512.3650737023358
p02,p02\face\7.jpg,898.6096,59.829666,781.0,19.0,124.4953171182555
p02,p02\face\8.jpg,1465.2175,846.6023,994.0,583.0,539.9371491201546
p02,p02\face\9.jpg,375.3736,690.6959,148.0,511.0,289.8092044777046
p02,p02\face\10.jpg,709.0824,850.6461,717.0,597.0,253.7696574898189
p02,p02\face\11.jpg,1124.367,807.5438,1044.0,588.0,233.79122296934074
p02,p02\face\12.jpg,329.1436,509.47858,306.0,390.0,121.69944888689923
p02,p02\face\13.jpg,356.30835,648.6002,340.0,462.0,187.3115094234735
p02,p02\face\14.jpg,671.15216,398.66644,670.0,149.0,249.6691013246333
p02,p02\face\15.jpg,287.03125,472.77188,154.0,415.0,145.0341419933596
p02,p02\face\16.jpg,721.2987,273.74548,910.0,99.0,257.18507744910085
p02,p02\face\17.jpg,442.9828,644.0915,340.0,482.0,192.039343299752
p02,p02\face\18.jpg,335.44104,782.93097,438.0,346.0,448.80621166044483
p02,p02\face\19.jpg,157.05875,792.0139,179.0,546.0,246.9904160590042
p02,p02\face\20.jpg,634.24445,984.31116,693.0,536.0,452.1450092337634
p02,p02\face\21.jpg,268.46942,357.55386,291.0,263.0,97.20113449376504
p02,p02\face\22.jpg,219.20984,250.52905,57.0,67.0,244.9386562233491
p02,p02\face\23.jpg,256.58844,831.34485,295.0,456.0,377.30518565877145
p02,p02\face\24.jpg,880.9077,744.6587,751.0,531.0,250.05208832361308
p02,p02\face\25.jpg,1241.5709,255.805,992.0,47.0,325.4000182467727
p02,p02\face\26.jpg,583.748,357.53723,579.0,138.0,219.5885712531506
p02,p02\face\27.jpg,329.8598,570.9562,377.0,305.0,270.1016157161967
p02,p02\face\28.jpg,1391.7615,790.5117,1239.0,490.0,337.1103190166388
p02,p02\face\29.jpg,485.42273,129.98904,303.0,141.0,182.75473446329647
p02,p02\face\30.jpg,347.06308,265.15906,162.0,73.0,266.78351769271654
p02,p02\face\31.jpg,191.43666,848.0364,149.0,798.0,65.60875542991576
p02,p02\face\32.jpg,322.3142,220.01291,324.0,178.0,42.04671677552913
p02,p02\face\33.jpg,280.37613,208.30957,131.0,49.0,218.38673408657405
p02,p02\face\34.jpg,1387.565,364.95898,1272.0,149.0,244.93578558981537
p02,p02\face\35.jpg,71.030594,386.80005,260.0,444.0,197.43675807078074
p02,p02\face\36.jpg,1101.6757,420.44455,899.0,284.0,244.32465913718164
p02,p02\face\37.jpg,104.4525,822.3678,86.0,341.0,481.7213438545151
p02,p02\face\38.jpg,1374.4583,806.55133,1191.0,600.0,276.2614392427941
p02,p02\face\39.jpg,857.1437,601.8964,785.0,376.0,237.13689348138135
p02,p02\face\40.jpg,356.90604,858.2208,382.0,428.0,430.9520347440072
p02,p02\face\41.jpg,28.133736,518.33923,56.0,341.0,179.51527072055737
p02,p02\face\42.jpg,376.08508,692.534,147.0,598.0,247.8238332843514
p02,p02\face\43.jpg,1437.793,561.07654,1222.0,463.0,237.03504652529762
p02,p02\face\44.jpg,690.9163,64.41345,566.0,153.0,153.1393615714131
p02,p02\face\45.jpg,1255.9487,787.7952,1038.0,302.0,532.4459186152149
p02,p02\face\46.jpg,171.46783,51.560608,110.0,1.0,79.59063966243141
p02,p02\face\47.jpg,131.0564,75.30524,92.0,45.0,49.4349023495799
p02,p02\face\48.jpg,377.63684,54.240154,376.0,24.0,30.28442139449289
p02,p02\face\49.jpg,314.7181,585.14557,255.0,306.0,285.46190639032733
p02,p02\face\50.jpg,266.58252,581.1684,308.0,554.0,49.53311559972404
p02,p02\face\51.jpg,1386.7651,611.6754,1189.0,347.0,330.3999470338941
