[1] Total Num: 3000, acc: 5.738683313872858 
[2] Total Num: 3000, acc: 4.500955502087013 
[3] Total Num: 3000, acc: 4.7415853132959125 
[4] Total Num: 3000, acc: 4.260806972381886 
[5] Total Num: 3000, acc: 4.2886031197205 
[6] Total Num: 3000, acc: 4.817237923849386 
[7] Total Num: 3000, acc: 4.270202322002655 
[8] Total Num: 3000, acc: 4.426919442034992 
[9] Total Num: 3000, acc: 4.410289995513295 
[10] Total Num: 3000, acc: 4.115631049906221 
[11] Total Num: 3000, acc: 4.261701487820907 
[12] Total Num: 3000, acc: 4.282363952933562 
[13] Total Num: 3000, acc: 4.291590295563159 
[14] Total Num: 3000, acc: 4.0840489179210575 
[15] Total Num: 3000, acc: 3.982190485754265 
[16] Total Num: 3000, acc: 4.127921730543661 
[17] Total Num: 3000, acc: 4.205796417856485 
