[1] Total Num: 3000, avg: 326.371259190218 
[2] Total Num: 3000, avg: 244.05489440389607 
[3] Total Num: 3000, avg: 296.1911870739876 
[4] Total Num: 3000, avg: 285.7163585516452 
[5] Total Num: 3000, avg: 259.0116031922565 
[6] Total Num: 3000, avg: 275.9948295007559 
[7] Total Num: 3000, avg: 285.7900962784947 
[8] Total Num: 3000, avg: 283.0085845770841 
[9] Total Num: 3000, avg: 288.4217093271952 
[10] Total Num: 3000, avg: 281.37894869369046 
[11] Total Num: 3000, avg: 277.76272505904484 
[12] Total Num: 3000, avg: 275.58588472130714 
[13] Total Num: 3000, avg: 281.31779343233643 
[14] Total Num: 3000, avg: 280.98349451502384 
[15] Total Num: 3000, avg: 278.6782311540077 
[16] Total Num: 3000, avg: 283.92284886370663 
[17] Total Num: 3000, avg: 287.7398807380785 
