[1] Total Num: 3000, acc: 5.384220055071879 
[2] Total Num: 3000, acc: 4.7865774013420035 
[3] Total Num: 3000, acc: 4.394092787935931 
[4] Total Num: 3000, acc: 5.008855304445506 
[5] Total Num: 3000, acc: 5.236338525878548 
[6] Total Num: 3000, acc: 6.4596068785948395 
[7] Total Num: 3000, acc: 5.202732033224837 
[8] Total Num: 3000, acc: 5.408550118876731 
[9] Total Num: 3000, acc: 5.148661178340848 
[10] Total Num: 3000, acc: 5.504707518274468 
[11] Total Num: 3000, acc: 5.277441599742831 
[12] Total Num: 3000, acc: 5.721191582250449 
[13] Total Num: 3000, acc: 5.410136969888771 
[14] Total Num: 3000, acc: 5.704245738053653 
[15] Total Num: 3000, acc: 6.247428003874535 
[16] Total Num: 3000, acc: 5.684347058175794 
[17] Total Num: 3000, acc: 5.935554238259155 
