[1] Total Num: 3000, avg: 299.5443532539128 
[2] Total Num: 3000, avg: 291.67159798401724 
[3] Total Num: 3000, avg: 323.9200522521535 
[4] Total Num: 3000, avg: 282.7953530173933 
[5] Total Num: 3000, avg: 265.906297121163 
[6] Total Num: 3000, avg: 254.09763901674143 
[7] Total Num: 3000, avg: 230.91335468973602 
[8] Total Num: 3000, avg: 224.10545435580755 
[9] Total Num: 3000, avg: 215.72025418851487 
[10] Total Num: 3000, avg: 215.88673213982636 
[11] Total Num: 3000, avg: 219.2035723253395 
[12] Total Num: 3000, avg: 217.62060746059194 
[13] Total Num: 3000, avg: 214.720645043759 
[14] Total Num: 3000, avg: 214.02345706134375 
[15] Total Num: 3000, avg: 217.36077152223743 
[16] Total Num: 3000, avg: 214.0700827407371 
[17] Total Num: 3000, avg: 209.88594748719038 
