[1] Total Num: 3000, acc: 54.25806025465377 
[2] Total Num: 3000, acc: 55.535748596307094 
[3] Total Num: 3000, acc: 60.38954494624912 
[4] Total Num: 3000, acc: 53.05507591679504 
[5] Total Num: 3000, acc: 54.98483400022121 
[6] Total Num: 3000, acc: 50.13448407780679 
[7] Total Num: 3000, acc: 43.693030057794076 
[8] Total Num: 3000, acc: 50.119874004827466 
[9] Total Num: 3000, acc: 50.08221733291018 
[10] Total Num: 3000, acc: 52.706888815237484 
[11] Total Num: 3000, acc: 53.47692416085944 
[12] Total Num: 3000, acc: 52.64814445525206 
[13] Total Num: 3000, acc: 47.883676690389876 
[14] Total Num: 3000, acc: 52.61769726308216 
[15] Total Num: 3000, acc: 49.556493746289476 
[16] Total Num: 3000, acc: 54.38816865335735 
[17] Total Num: 3000, acc: 53.397800878464324 
