[1] Total Num: 3000, acc: 6.6443042709117766 
[2] Total Num: 3000, acc: 6.189746403914356 
[3] Total Num: 3000, acc: 6.366630212178934 
[4] Total Num: 3000, acc: 5.727932946735217 
[5] Total Num: 3000, acc: 6.389657652055237 
[6] Total Num: 3000, acc: 6.1288996061641345 
[7] Total Num: 3000, acc: 6.287496987292478 
[8] Total Num: 3000, acc: 5.618354495866963 
[9] Total Num: 3000, acc: 5.642225062577382 
[10] Total Num: 3000, acc: 5.56256375389745 
[11] Total Num: 3000, acc: 5.526853915051322 
[12] Total Num: 3000, acc: 5.530491702300162 
[13] Total Num: 3000, acc: 5.720778459849841 
[14] Total Num: 3000, acc: 5.493740277602673 
[15] Total Num: 3000, acc: 5.394119466398796 
[16] Total Num: 3000, acc: 5.358167173630601 
[17] Total Num: 3000, acc: 5.4407490130369025 
