subject,name,x,y,labelx,labely,error
p12,p12\face\1.jpg,464.0484,67.72654,327.0,502.0,455.3852249744166
p12,p12\face\2.jpg,1003.3987,518.3456,1157.0,608.0,177.8518519723649
p12,p12\face\3.jpg,285.46423,110.50308,307.0,5.0,107.67863972545808
p12,p12\face\4.jpg,766.4303,236.26294,717.0,234.0,49.48206844561219
p12,p12\face\5.jpg,557.39465,646.7577,522.0,537.0,115.32359787381982
p12,p12\face\6.jpg,741.45123,557.16974,597.0,235.0,353.0715224993372
p12,p12\face\7.jpg,839.75464,140.17003,540.0,715.0,648.2918420742312
p12,p12\face\8.jpg,1128.4435,184.39305,1118.0,323.0,138.99983138478981
p12,p12\face\9.jpg,812.5039,100.29117,776.0,95.0,36.88538485919508
p12,p12\face\10.jpg,973.179,56.63164,817.0,65.0,156.40305004219067
p12,p12\face\11.jpg,831.5356,54.73191,824.0,142.0,87.59283300893544
p12,p12\face\12.jpg,245.76596,470.89386,201.0,365.0,114.96739092700373
p12,p12\face\13.jpg,654.1845,442.136,537.0,677.0,262.475355986043
p12,p12\face\14.jpg,1077.2852,457.49292,1009.0,756.0,306.2177916736714
p12,p12\face\15.jpg,954.18066,575.55176,1037.0,140.0,443.35581083369146
p12,p12\face\16.jpg,1056.0083,641.5478,1195.0,542.0,170.96332071894838
p12,p12\face\17.jpg,934.4088,19.949535,720.0,29.0,214.59974552932258
p12,p12\face\18.jpg,645.3618,168.42065,548.0,337.0,194.67490930394703
p12,p12\face\19.jpg,612.38336,83.154015,536.0,198.0,137.92758799910192
p12,p12\face\20.jpg,57.665916,409.44965,260.0,630.0,299.301739470388
p12,p12\face\21.jpg,687.7466,287.7984,659.0,88.0,201.85581371674684
p12,p12\face\22.jpg,405.9262,124.02359,407.0,18.0,106.02903033338322
p12,p12\face\23.jpg,1109.5059,231.3818,1204.0,443.0,231.7572140193267
p12,p12\face\24.jpg,827.26105,290.5928,971.0,340.0,151.99327955949238
p12,p12\face\25.jpg,1356.1692,605.2678,1225.0,724.0,176.92564977095606
p12,p12\face\26.jpg,372.20447,587.5819,555.0,696.0,212.52926269104685
p12,p12\face\27.jpg,922.1966,459.45944,1220.0,564.0,315.61938113810436
p12,p12\face\28.jpg,1094.4897,516.9387,1159.0,669.0,165.17931189505845
p12,p12\face\29.jpg,764.3473,100.60577,639.0,405.0,329.19263215099454
p12,p12\face\30.jpg,894.0045,198.60132,943.0,211.0,50.539931420301215
p12,p12\face\31.jpg,721.1367,166.26543,619.0,349.0,209.341433876574
p12,p12\face\32.jpg,755.1122,230.99475,919.0,257.0,165.93821209828374
p12,p12\face\33.jpg,767.9018,707.66974,756.0,673.0,36.6557438157719
p12,p12\face\34.jpg,749.59576,117.24277,217.0,134.0,532.8593271211455
p12,p12\face\35.jpg,897.66364,563.66113,947.0,692.0,137.49524139492974
p12,p12\face\36.jpg,589.95074,69.780754,634.0,542.0,474.26928993452657
p12,p12\face\37.jpg,837.5747,39.087914,615.0,96.0,229.73568372153247
p12,p12\face\38.jpg,606.2253,422.89737,886.0,632.0,349.28183015295826
p12,p12\face\39.jpg,917.1576,258.51025,822.0,65.0,215.6413399605929
p12,p12\face\40.jpg,730.4901,21.708467,535.0,404.0,429.3753457058288
p12,p12\face\41.jpg,581.24365,563.7259,576.0,791.0,227.33458959208122
p12,p12\face\42.jpg,1202.2778,665.807,1014.0,242.0,463.7466138690395
p12,p12\face\43.jpg,974.76697,581.6049,842.0,406.0,220.14576137186924
p12,p12\face\44.jpg,359.48175,104.59607,302.0,394.0,295.05725080058613
p12,p12\face\45.jpg,804.1974,199.08546,712.0,329.0,159.30519304545598
p12,p12\face\46.jpg,460.429,237.565,168.0,401.0,335.0010610990658
p12,p12\face\47.jpg,195.6208,-2.889902,70.0,715.0,728.7979829829388
p12,p12\face\48.jpg,1025.7252,378.7402,1027.0,228.0,150.745594877595
p12,p12\face\49.jpg,95.3978,249.73695,17.0,158.0,120.6726266081086
p12,p12\face\50.jpg,641.801,74.26869,684.0,378.0,306.6487709905259
p12,p12\face\51.jpg,492.96347,15.445864,394.0,48.0,104.18032931232747
p12,p12\face\52.jpg,227.44687,235.8786,203.0,286.0,55.76561624404526
p12,p12\face\53.jpg,517.731,517.8183,360.0,787.0,311.9901590996101
p12,p12\face\54.jpg,813.7896,381.1955,862.0,583.0,207.4832542188646
p12,p12\face\55.jpg,266.51834,770.84546,308.0,731.0,57.518594140286496
p12,p12\face\56.jpg,677.73083,441.34116,605.0,623.0,195.67756881538568
p12,p12\face\57.jpg,198.15958,680.7406,92.0,727.0,115.80063518554205
p12,p12\face\58.jpg,1106.6582,130.99205,1007.0,60.0,122.35860781428498
p12,p12\face\59.jpg,470.8474,29.281624,588.0,82.0,128.46771998492463
p12,p12\face\60.jpg,678.2051,444.23987,445.0,455.0,233.45318722390576
p12,p12\face\61.jpg,252.09943,422.49802,166.0,482.0,104.65943653703664
p12,p12\face\62.jpg,337.694,48.44757,377.0,229.0,184.78133191694448
p12,p12\face\63.jpg,1072.4468,134.71346,991.0,51.0,116.79691576086245
p12,p12\face\64.jpg,725.8439,84.213585,637.0,106.0,91.4761217989427
p12,p12\face\65.jpg,769.6015,414.08087,680.0,324.0,127.05507541023302
p12,p12\face\66.jpg,390.70593,419.1288,468.0,591.0,188.45179257571417
p12,p12\face\67.jpg,1049.5079,43.413933,1240.0,205.0,249.79447802143264
p12,p12\face\68.jpg,1488.7161,840.26794,1254.0,453.0,452.844447630751
p12,p12\face\69.jpg,959.71045,385.45776,782.0,696.0,357.79531072248557
p12,p12\face\70.jpg,868.6228,552.46924,918.0,653.0,112.00241522228438
p12,p12\face\71.jpg,1124.5535,54.70101,913.0,170.0,240.93303335678152
p12,p12\face\72.jpg,846.06177,85.56059,912.0,193.0,126.0598157560033
p12,p12\face\73.jpg,1408.323,469.47675,945.0,625.0,488.72864403470356
p12,p12\face\74.jpg,895.11975,418.25317,828.0,469.0,84.14452898324703
p12,p12\face\75.jpg,816.4103,53.10972,670.0,27.0,148.72015850877446
p12,p12\face\76.jpg,180.73615,304.17084,117.0,254.0,81.11355731126271
p12,p12\face\77.jpg,652.04114,139.45128,547.0,490.0,365.94812644690506
p12,p12\face\78.jpg,1215.0894,716.9293,1081.0,650.0,149.86490009755454
p12,p12\face\79.jpg,573.82745,264.01352,346.0,179.0,243.17204718316208
p12,p12\face\80.jpg,1228.2144,263.3454,998.0,331.0,239.94956338520393
p12,p12\face\81.jpg,808.37024,626.1542,459.0,613.0,349.61778237097724
p12,p12\face\82.jpg,667.42175,285.50732,684.0,708.0,422.8178168549665
p12,p12\face\83.jpg,655.4186,377.2865,826.0,610.0,288.536988530067
p12,p12\face\84.jpg,670.1643,431.35434,681.0,550.0,119.13943544488114
p12,p12\face\85.jpg,1069.4647,775.6509,1097.0,532.0,245.20183809720922
p12,p12\face\86.jpg,1092.0916,99.942566,1097.0,142.0,42.34289378746893
p12,p12\face\87.jpg,849.4468,511.43164,717.0,641.0,185.28386161509047
p12,p12\face\88.jpg,829.63367,216.7652,779.0,286.0,85.77427681129116
p12,p12\face\89.jpg,281.22394,441.84714,12.0,788.0,438.52405150687
p12,p12\face\90.jpg,1458.9915,122.39645,1182.0,25.0,293.6159667618571
p12,p12\face\91.jpg,669.02136,572.39355,781.0,750.0,209.96015246946266
p12,p12\face\92.jpg,1007.8614,613.16797,943.0,777.0,176.20423829678444
p12,p12\face\93.jpg,873.4946,300.85535,693.0,48.0,310.6672506476986
p12,p12\face\94.jpg,981.98975,206.44067,771.0,374.0,269.43050472246085
p12,p12\face\95.jpg,560.6814,175.41203,503.0,646.0,474.1098567315385
p12,p12\face\96.jpg,956.15735,638.3695,738.0,699.0,226.42589847453405
p12,p12\face\97.jpg,233.47958,187.70677,32.0,245.0,209.46727444281123
p12,p12\face\98.jpg,33.7137,306.6578,42.0,137.0,169.86004119200607
p12,p12\face\99.jpg,927.04785,388.8763,423.0,729.0,608.0693833766012
p12,p12\face\100.jpg,780.36005,61.970078,861.0,396.0,343.62593215588373
p12,p12\face\101.jpg,203.08508,531.83997,345.0,454.0,161.86075588874223
p12,p12\face\102.jpg,992.97,678.4249,1077.0,537.0,164.5054852808866
p12,p12\face\103.jpg,301.7019,65.43057,136.0,382.0,357.3140469181138
p12,p12\face\104.jpg,1181.669,289.4402,1180.0,423.0,133.57024281487625
p12,p12\face\105.jpg,428.37793,29.238447,310.0,72.0,125.8645492806652
p12,p12\face\106.jpg,497.51614,428.49097,440.0,457.0,64.19401515742142
p12,p12\face\107.jpg,1291.7119,744.5661,1263.0,409.0,336.792197615978
p12,p12\face\108.jpg,733.6107,536.58746,602.0,641.0,167.998093367157
p12,p12\face\109.jpg,688.32935,542.4291,808.0,589.0,128.41306793167507
p12,p12\face\110.jpg,1117.87,120.87304,1157.0,454.0,335.41724249432974
p12,p12\face\111.jpg,1313.4258,360.45795,1125.0,442.0,205.3128805171512
p12,p12\face\112.jpg,1213.0314,185.60223,1013.0,438.0,322.0515292620111
p12,p12\face\113.jpg,453.2333,246.44977,47.0,522.0,490.87008209912324
p12,p12\face\114.jpg,920.2621,164.93515,917.0,57.0,107.98443717441417
p12,p12\face\115.jpg,274.89423,262.78784,61.0,541.0,350.93126107544197
p12,p12\face\116.jpg,110.27197,453.6714,124.0,336.0,118.46946715689026
p12,p12\face\117.jpg,363.0655,380.6239,608.0,644.0,359.6663492912563
p12,p12\face\118.jpg,1450.1826,254.62152,931.0,353.0,528.4211447794269
p12,p12\face\119.jpg,1286.9802,520.6527,1159.0,588.0,144.61879443255293
p12,p12\face\120.jpg,783.0235,396.92874,435.0,778.0,516.0771805166355
p12,p12\face\121.jpg,431.5798,572.6859,455.0,553.0,30.594783403128957
p12,p12\face\122.jpg,779.5975,95.94737,785.0,682.0,586.0775066064215
p12,p12\face\123.jpg,1296.4912,520.3261,1132.0,291.0,282.219468012042
p12,p12\face\124.jpg,370.13306,233.06686,80.0,394.0,331.77803432792234
p12,p12\face\125.jpg,423.68292,71.54895,284.0,66.0,139.79309487596302
p12,p12\face\126.jpg,1256.8923,169.80168,892.0,497.0,490.10729054973257
p12,p12\face\127.jpg,405.34818,212.82523,312.0,295.0,124.36468628719528
p12,p12\face\128.jpg,322.64297,56.342735,283.0,68.0,41.321390046689196
p12,p12\face\129.jpg,346.6845,270.95694,611.0,180.0,279.52789440411846
p12,p12\face\130.jpg,1080.5403,241.21211,1022.0,770.0,532.0184442291451
p12,p12\face\131.jpg,616.37085,118.679924,1139.0,311.0,556.891568215932
p12,p12\face\132.jpg,787.7638,52.89254,964.0,73.0,177.37956962048926
p12,p12\face\133.jpg,759.3003,124.46573,748.0,96.0,30.62669399013914
p12,p12\face\134.jpg,815.5812,621.11633,526.0,553.0,297.484610946516
p12,p12\face\135.jpg,1027.9963,6.747608,1136.0,135.0,167.6707152427042
p12,p12\face\136.jpg,139.81311,71.632385,99.0,239.0,172.27196204330522
p12,p12\face\137.jpg,929.77466,600.755,1128.0,797.0,278.93616261162697
p12,p12\face\138.jpg,541.31616,88.88186,177.0,567.0,601.1016708927035
p12,p12\face\139.jpg,859.10364,556.17334,589.0,427.0,299.40228215980585
p12,p12\face\140.jpg,307.14893,638.0448,907.0,407.0,642.8086807130096
p12,p12\face\141.jpg,1004.902,268.67398,1158.0,793.0,546.2204797515377
p12,p12\face\142.jpg,586.9759,244.48172,206.0,132.0,397.23389284526064
p12,p12\face\143.jpg,382.1808,476.34198,379.0,513.0,36.79575867468033
p12,p12\face\144.jpg,195.57004,377.47943,131.0,231.0,160.07971036916265
p12,p12\face\145.jpg,312.27063,135.55386,156.0,121.0,156.94688343114686
p12,p12\face\146.jpg,216.8801,105.95233,57.0,201.0,185.99920194721267
p12,p12\face\147.jpg,80.646736,100.79332,3.0,72.0,82.81346992356528
p12,p12\face\148.jpg,1107.1506,76.6786,1059.0,101.0,53.9445470845409
p12,p12\face\149.jpg,1062.1357,125.92617,1079.0,219.0,94.5893261684425
p12,p12\face\150.jpg,790.5982,655.5277,731.0,215.0,444.54089730304906
p12,p12\face\151.jpg,536.4497,54.8718,239.0,128.0,306.3071375270253
p12,p12\face\152.jpg,654.20966,194.83011,833.0,129.0,190.52451244852983
p12,p12\face\153.jpg,1017.984,310.25717,1037.0,484.0,174.78036999152678
p12,p12\face\154.jpg,71.25395,-117.95635,1004.0,288.0,1017.2589395036055
p12,p12\face\155.jpg,688.30225,113.93245,734.0,717.0,604.7964791977546
p12,p12\face\156.jpg,411.4661,323.50208,258.0,409.0,175.67508738613168
p12,p12\face\157.jpg,499.25928,180.61246,235.0,301.0,290.38960897387494
p12,p12\face\158.jpg,1047.5747,308.4972,751.0,401.0,310.6659429757308
p12,p12\face\159.jpg,299.64563,671.7223,290.0,683.0,14.839976905331802
p12,p12\face\160.jpg,409.90384,155.37527,233.0,87.0,189.65797752137925
p12,p12\face\161.jpg,1279.2561,108.20648,1193.0,128.0,88.49801374889721
p12,p12\face\162.jpg,765.61926,335.5429,654.0,392.0,125.08502186637895
p12,p12\face\163.jpg,988.5448,74.30675,974.0,200.0,126.53199092151557
p12,p12\face\164.jpg,158.64072,256.39185,28.0,444.0,228.61280892865562
p12,p12\face\165.jpg,341.7669,140.37468,412.0,503.0,369.3640438307443
p12,p12\face\166.jpg,613.4846,66.43569,468.0,246.0,231.10410938579176
p12,p12\face\167.jpg,565.7573,446.58636,420.0,484.0,150.48247925423078
p12,p12\face\168.jpg,888.5331,269.08923,919.0,237.0,44.248751692756116
p12,p12\face\169.jpg,156.91125,454.31085,118.0,188.0,269.13854180978984
p12,p12\face\170.jpg,1088.2825,526.921,936.0,687.0,220.9416902007179
p12,p12\face\171.jpg,1126.0452,548.9955,1119.0,745.0,196.1310845933148
p12,p12\face\172.jpg,1286.8438,421.1779,1258.0,364.0,64.04117785407682
p12,p12\face\173.jpg,287.79315,222.40048,38.0,232.0,249.9775380534219
p12,p12\face\174.jpg,1236.0468,155.07536,1099.0,740.0,600.7650331036253
p12,p12\face\175.jpg,584.0333,302.20996,671.0,325.0,89.903216732808
p12,p12\face\176.jpg,611.56726,35.078506,471.0,129.0,169.0573936382257
p12,p12\face\177.jpg,1038.6243,596.74817,979.0,492.0,120.52896922265202
p12,p12\face\178.jpg,274.44516,42.51488,332.0,223.0,189.4397991447415
p12,p12\face\179.jpg,575.2274,34.687164,437.0,137.0,171.9730629342863
p12,p12\face\180.jpg,600.1247,665.9796,701.0,616.0,112.57792440127861
p12,p12\face\181.jpg,624.8826,130.61969,368.0,603.0,537.7098137006614
p12,p12\face\182.jpg,606.5933,164.13069,757.0,14.0,212.51209524401193
p12,p12\face\183.jpg,1018.9888,49.338665,1053.0,237.0,190.71848117710041
p12,p12\face\184.jpg,163.87112,90.6803,402.0,46.0,242.28431935692825
p12,p12\face\185.jpg,1036.8951,548.02356,1001.0,681.0,137.73596230650875
p12,p12\face\186.jpg,126.05175,50.765217,84.0,206.0,160.8296908320258
p12,p12\face\187.jpg,1165.367,171.38231,1137.0,177.0,28.91784817996275
p12,p12\face\188.jpg,853.29065,465.30316,658.0,587.0,230.1055379467213
p12,p12\face\189.jpg,354.24216,520.08923,435.0,578.0,99.37548152399062
p12,p12\face\190.jpg,915.8633,433.9527,1035.0,600.0,204.36551965779356
p12,p12\face\191.jpg,1069.2004,761.2116,819.0,767.0,250.26738825703998
p12,p12\face\192.jpg,162.21088,118.25705,119.0,329.0,215.12733329646886
p12,p12\face\193.jpg,567.898,478.43225,691.0,593.0,168.166194999545
p12,p12\face\194.jpg,770.7156,179.41193,633.0,256.0,157.57954340586218
p12,p12\face\195.jpg,90.15483,127.7534,91.0,31.0,96.75709054282534
p12,p12\face\196.jpg,931.66174,553.713,914.0,582.0,33.34802573335489
p12,p12\face\197.jpg,278.58313,7.0626125,106.0,187.0,249.32389043922365
p12,p12\face\198.jpg,915.7892,321.3399,900.0,309.0,20.039251339266176
p12,p12\face\199.jpg,1251.8513,35.553318,1195.0,59.0,61.49649856648344
p12,p12\face\200.jpg,448.8617,127.74977,280.0,288.0,232.796920619668
p12,p12\face\201.jpg,258.6765,271.63217,86.0,415.0,224.43598579271998
p12,p12\face\202.jpg,1143.407,330.57553,982.0,167.0,229.80246272614227
p12,p12\face\203.jpg,1231.8296,619.64825,932.0,760.0,331.05345584210414
p12,p12\face\204.jpg,1113.9148,74.08247,1072.0,54.0,46.47747585356535
p12,p12\face\205.jpg,897.4826,69.056206,958.0,655.0,589.0606664427697
p12,p12\face\206.jpg,560.228,629.62537,0.0,570.0,563.3920704092311
p12,p12\face\207.jpg,222.94394,675.2598,306.0,663.0,83.9560141067184
p12,p12\face\208.jpg,373.06165,710.2737,300.0,538.0,187.12623162587334
p12,p12\face\209.jpg,314.5615,513.73303,301.0,794.0,280.594875888709
p12,p12\face\210.jpg,271.4818,261.6316,164.0,458.0,223.85908653659783
p12,p12\face\211.jpg,794.1776,240.14983,900.0,413.0,202.671069716425
p12,p12\face\212.jpg,401.84344,417.25574,448.0,419.0,46.189500654403325
p12,p12\face\213.jpg,199.3099,686.082,199.0,666.0,20.084361112051756
p12,p12\face\214.jpg,238.48392,632.7252,220.0,579.0,56.81596996760132
p12,p12\face\215.jpg,142.7873,-26.077848,64.0,164.0,205.75963487465174
p12,p12\face\216.jpg,514.1581,418.1653,501.0,348.0,71.3884209142141
p12,p12\face\217.jpg,849.74994,182.51027,871.0,267.0,87.12106283697273
p12,p12\face\218.jpg,573.4012,-7.1963882,610.0,131.0,142.9605291352302
p12,p12\face\219.jpg,832.25464,290.68985,394.0,112.0,473.28341139321583
p12,p12\face\220.jpg,1045.6102,252.39203,936.0,537.0,304.98539924068496
p12,p12\face\221.jpg,759.3011,267.55545,803.0,139.0,135.77959938582453
p12,p12\face\222.jpg,238.97824,154.66791,138.0,202.0,111.52099630646913
p12,p12\face\223.jpg,237.5291,772.80005,159.0,755.0,80.52118437288723
p12,p12\face\224.jpg,417.30243,359.61847,328.0,361.0,89.31311504774229
p12,p12\face\225.jpg,882.9018,330.48535,765.0,80.0,276.8460622575297
p12,p12\face\226.jpg,662.7894,277.5455,541.0,187.0,151.76018036280135
p12,p12\face\227.jpg,48.568863,401.3083,15.0,272.0,133.59454312630064
p12,p12\face\228.jpg,454.31335,33.151073,271.0,39.0,183.40664135671315
p12,p12\face\229.jpg,1028.1448,672.10693,950.0,670.0,78.17317264813421
p12,p12\face\230.jpg,478.2356,291.04904,114.0,425.0,388.0855857604093
p12,p12\face\231.jpg,161.91647,644.5784,395.0,611.0,235.4897904501382
p12,p12\face\232.jpg,1035.7937,315.3539,1127.0,487.0,194.37327169649637
p12,p12\face\233.jpg,959.60583,89.51151,1029.0,511.0,427.16284219252964
p12,p12\face\234.jpg,839.73157,725.3654,670.0,567.0,232.13877348743358
p12,p12\face\235.jpg,935.78546,601.3369,876.0,751.0,161.16246412781732
p12,p12\face\236.jpg,380.6646,52.77868,229.0,76.0,153.43202001415807
p12,p12\face\237.jpg,544.3816,47.333115,1025.0,81.0,481.79611870582767
p12,p12\face\238.jpg,917.22546,733.7928,783.0,543.0,233.27743005914652
