[1] Total Num: 3000, acc: 4.207380840293642 
[2] Total Num: 3000, acc: 3.2013895007334687 
[3] Total Num: 3000, acc: 3.133704981652895 
[4] Total Num: 3000, acc: 3.2587736407890424 
[5] Total Num: 3000, acc: 3.3628154189015174 
[6] Total Num: 3000, acc: 2.813809807892838 
[7] Total Num: 3000, acc: 2.891505651547991 
[8] Total Num: 3000, acc: 2.9015603025163466 
[9] Total Num: 3000, acc: 2.7787649697039662 
[10] Total Num: 3000, acc: 2.6883777871486805 
[11] Total Num: 3000, acc: 2.7282793657833793 
[12] Total Num: 3000, acc: 2.7595553327839304 
[13] Total Num: 3000, acc: 2.762564579309578 
[14] Total Num: 3000, acc: 2.6931431964380983 
[15] Total Num: 3000, acc: 2.707877414505331 
[16] Total Num: 3000, acc: 2.6519332595888847 
[17] Total Num: 3000, acc: 2.6206230497739202 
